id	conversation_id	created_at	date	time	timezone	user_id	username	name	place	tweet	language	mentions	urls	photos	replies_count	retweets_count	likes_count	hashtags	cashtags	link	retweet	quote_url	video	thumbnail	near	geo	source	user_rt_id	user_rt	retweet_id	reply_to	retweet_date	translate	trans_src	trans_dest
1634998518367805440	1634998518367805440	2023-03-13 02:23:18 SE Asia Standard Time	2023-03-13	02:23:18	+0700	1614711505	nayla_adjha	putri		Apa kabar neh FS dan PC  ditaha dimanakah mereka ya?  @abu_waras  @MprAldo  @KejaksaanRI  @titokarnavian_  https://t.co/ikCJ0vZUCJ	in	[{'screen_name': 'abu_waras', 'name': 'lambe waras', 'id': '2905814730'}, {'screen_name': 'mpraldo', 'name': 'babehaldompr', 'id': '1465587620616884230'}, {'screen_name': 'kejaksaanri', 'name': 'kejaksaan ri', 'id': '705276546735407104'}, {'screen_name': 'titokarnavian_', 'name': 'tito karnavian', 'id': '1390049756798349315'}]	[]	['https://pbs.twimg.com/media/FrCueveakAExsJg.jpg']	0	2	2	[]	[]	https://twitter.com/nayla_adjha/status/1634998518367805440	False		1	https://pbs.twimg.com/media/FrCueveakAExsJg.jpg							[]				
1634955913865097216	1634955913865097216	2023-03-12 23:34:00 SE Asia Standard Time	2023-03-12	23:34:00	+0700	3463405992	sicampretnim	Putri ☆彡		kakak siapa ya dl yang kolek irene minta cariin pc clinique semua :)	in	[]	[]	[]	0	0	0	[]	[]	https://twitter.com/sicampretnim/status/1634955913865097216	False	https://twitter.com/sicampretnim/status/1481451791296638977	0								[]				
1634884927211851777	1634884927211851777	2023-03-12 18:51:55 SE Asia Standard Time	2023-03-12	18:51:55	+0700	1412312518945492992	putrilltl	min putri🌸		🇯🇵Rd jp ❌Emstax ✔️Ada go 🏡Jatim  7 item : -Pc biasa 2 -Pc mini 2 -Photostrip -Stande -Room  Wts wtb pc bts ina dfesta day calender rante namjoon seokjin suga jhope jimin taehyung jungkook  https://t.co/P66AzoK1fj	in	[]	[]	['https://pbs.twimg.com/media/FrBHK3kaMAI0KUM.jpg', 'https://pbs.twimg.com/media/FrBHLVMakAEmHzI.jpg']	0	0	0	[]	[]	https://twitter.com/putrilltl/status/1634884927211851777	False		1	https://pbs.twimg.com/media/FrBHK3kaMAI0KUM.jpg							[]				
1634857754446929921	1634857754446929921	2023-03-12 17:03:57 SE Asia Standard Time	2023-03-12	17:03:57	+0700	1130640886906232832	yourheartw	putri		WTS FAST -Xiaoting mwave sign - Chaehyun pob - Xiaoting &amp; Chae album pc  Hmu for more details #pasarkep1er @pasarKep1er  https://t.co/L0OpaW4BAN	en	[{'screen_name': 'pasarkep1er', 'name': 'pasar kep1er', 'id': '1451538001901674496'}]	[]	['https://pbs.twimg.com/media/FrAucMnWYAAmDey.jpg']	0	0	1	['pasarkep1er']	[]	https://twitter.com/yourheartw/status/1634857754446929921	False		1	https://pbs.twimg.com/media/FrAucMnWYAAmDey.jpg							[]				
1634847528243036160	1634522457385349121	2023-03-12 16:23:19 SE Asia Standard Time	2023-03-12	16:23:19	+0700	779240383163215872	damay26_	Putri		@hamjjisong__ Done, thanks for GA ka Aku mau pc nana candy ka, wml	in	[]	[]	[]	0	0	0	[]	[]	https://twitter.com/damay26_/status/1634847528243036160	False		0								[{'screen_name': 'hamjjisong__', 'name': 'eci☆彡|| pcd saga', 'id': '1362396298020679681'}]				
1634819508316811264	1634770816868159490	2023-03-12 14:31:58 SE Asia Standard Time	2023-03-12	14:31:58	+0700	1412312518945492992	putrilltl	min putri🌸		update  wts wtb pc bts ina ptd seoul dalmajung its 2 gitar little wishes namjoon seokjin suga jhope jimin taehyung jungkook  https://t.co/uMhEf7qt7a	in	[]	[]	['https://pbs.twimg.com/media/FrALrN1acAA1F7o.jpg']	0	0	0	[]	[]	https://twitter.com/putrilltl/status/1634819508316811264	False		1	https://pbs.twimg.com/media/FrALrN1acAA1F7o.jpg							[]				
1634819216242270209	1634807134214045696	2023-03-12 14:30:49 SE Asia Standard Time	2023-03-12	14:30:49	+0700	1412312518945492992	putrilltl	min putri🌸		update  wts wtb pc bts ina poster bromide jp namjoon seokjin suga jhope jimin taehyung jungkook  https://t.co/2u9EYDhtKj	in	[]	[]	['https://pbs.twimg.com/media/FrALaY4acAA9ZVY.jpg']	0	0	0	[]	[]	https://twitter.com/putrilltl/status/1634819216242270209	False		1	https://pbs.twimg.com/media/FrALaY4acAA9ZVY.jpg							[]				
1634814360303583232	1634814360303583232	2023-03-12 14:11:31 SE Asia Standard Time	2023-03-12	14:11:31	+0700	545113900	pxtriming	putri !! ⛸		kamu galauu gadapet pc mode solon? beli mode vampire aslinya aja !!😍	in	[]	[]	[]	1	1	0	[]	[]	https://twitter.com/pxtriming/status/1634814360303583232	False	https://twitter.com/jlulid/status/1630816750567833600	0								[]				
1634807134214045696	1634807134214045696	2023-03-12 13:42:48 SE Asia Standard Time	2023-03-12	13:42:48	+0700	1412312518945492992	putrilltl	min putri🌸		🇯🇵Rd jp ❌Emstax ✔️Ada go 🏡Jatim  Wts wtb pc bts ina poster bromide namjoom seokjin suga jhope jimin taehyung jungkook  https://t.co/0VpINlad4h	in	[]	[]	['https://pbs.twimg.com/media/FrAAbMXaIAE6MF-.jpg']	1	0	0	[]	[]	https://twitter.com/putrilltl/status/1634807134214045696	False		1	https://pbs.twimg.com/media/FrAAbMXaIAE6MF-.jpg							[]				
1634806870329393152	1634806870329393152	2023-03-12 13:41:45 SE Asia Standard Time	2023-03-12	13:41:45	+0700	1412312518945492992	putrilltl	min putri🌸		🇯🇵Rd jp ❌Emstax ✔️Ada go 🏡Jatim  Wts wtb pc bts ina winpack memories butter cream peaches namjoon seokjin suga jhope jimin taehyung jungkook  https://t.co/fOGs0tC97I	in	[]	[]	['https://pbs.twimg.com/media/FrAALzeaIAAVJKm.jpg']	0	1	2	[]	[]	https://twitter.com/putrilltl/status/1634806870329393152	False		1	https://pbs.twimg.com/media/FrAALzeaIAAVJKm.jpg							[]				
1634800647831961606	1634800647831961606	2023-03-12 13:17:02 SE Asia Standard Time	2023-03-12	13:17:02	+0700	1412312518945492992	putrilltl	min putri🌸		🇯🇵Rd jp ❌Emstax ✔️Ada go 🏡Jatim  📌TAE LOPE DAMAGE  Wts wtb pc bts ina ly her tear answer its 2 folio me myself veautiful daya photobook namjoon seokjin suga jhope jimin taehyung jungkook  https://t.co/5AfqZXVWDi	en	[]	[]	['https://pbs.twimg.com/media/Fq_6hk_aIAACbpn.jpg']	4	0	1	[]	[]	https://twitter.com/putrilltl/status/1634800647831961606	False		1	https://pbs.twimg.com/media/Fq_6hk_aIAACbpn.jpg							[]				
1634800292477935617	1634800292477935617	2023-03-12 13:15:37 SE Asia Standard Time	2023-03-12	13:15:37	+0700	1412312518945492992	putrilltl	min putri🌸		🇯🇵Rd jp ❌Emstax ✔️Ada go 🏡Jatim  Wts wtb pc bts ina dicon jp taezoom pt1 tope nopang dagu dua jari namjoon seokjin suga jhope jimin taehyung jungkook  https://t.co/KulO2CDsEN	in	[]	[]	['https://pbs.twimg.com/media/Fq_6M45aUAAG_c7.jpg']	0	0	0	[]	[]	https://twitter.com/putrilltl/status/1634800292477935617	False		1	https://pbs.twimg.com/media/Fq_6M45aUAAG_c7.jpg							[]				
